Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","012","Algeria","723113","Emissions (CO2eq) (AR5)","21121","Meat of chickens, fresh or chilled","2014","2014","kilotonnes","421.6255","E","Estimated value"
"EI","Emissions intensities","012","Algeria","5510","Production","21121","Meat of chickens, fresh or chilled","2014","2014","tonnes","256739","I","Imputed value"
"EI","Emissions intensities","012","Algeria","71761","Emissions intensity","0231","Hen eggs in shell, fresh","2014","2014","kg CO2eq/kg product","0.433","E","Estimated value"
"EI","Emissions intensities","012","Algeria","723113","Emissions (CO2eq) (AR5)","0231","Hen eggs in shell, fresh","2014","2014","kilotonnes","152.21","E","Estimated value"
"EI","Emissions intensities","012","Algeria","5510","Production","0231","Hen eggs in shell, fresh","2014","2014","tonnes","351512","A","Official figure"
"EI","Emissions intensities","012","Algeria","71761","Emissions intensity","21113.01","Meat of pig with the bone, fresh or chilled","2014","2014","kg CO2eq/kg product","11","E","Estimated value"
"EI","Emissions intensities","012","Algeria","723113","Emissions (CO2eq) (AR5)","21113.01","Meat of pig with the bone, fresh or chilled","2014","2014","kilotonnes","1.287","E","Estimated value"
"EI","Emissions intensities","012","Algeria","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2014","2014","tonnes","117","I","Imputed value"
"EI","Emissions intensities","024","Angola","71761","Emissions intensity","F1718","Cereals excluding rice","2014","2014","kg CO2eq/kg product","0.1993","E","Estimated value"
"EI","Emissions intensities","024","Angola","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2014","2014","kilotonnes","355.0122","E","Estimated value"
"EI","Emissions intensities","024","Angola","5510","Production","F1718","Cereals excluding rice","2014","2014","tonnes","1780943","E","Estimated value"
"EI","Emissions intensities","024","Angola","71761","Emissions intensity","0113","Rice","2014","2014","kg CO2eq/kg product","5.9512","E","Estimated value"
"EI","Emissions intensities","024","Angola","723113","Emissions (CO2eq) (AR5)","0113","Rice","2014","2014","kilotonnes","251.6622","E","Estimated value"
"EI","Emissions intensities","024","Angola","5510","Production","0113","Rice","2014","2014","tonnes","42288","A","Official figure"
"EI","Emissions intensities","024","Angola","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","kg CO2eq/kg product","56.5719","E","Estimated value"
"EI","Emissions intensities","024","Angola","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","kilotonnes","5875.2225","E","Estimated value"
"EI","Emissions intensities","024","Angola","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","tonnes","103854","I","Imputed value"
"EI","Emissions intensities","024","Angola","71761","Emissions intensity","02211","Raw milk of cattle","2014","2014","kg CO2eq/kg product","3.4095","E","Estimated value"
"EI","Emissions intensities","024","Angola","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2014","2014","kilotonnes","647.8145","E","Estimated value"
"EI","Emissions intensities","024","Angola","5510","Production","02211","Raw milk of cattle","2014","2014","tonnes","190000","E","Estimated value"
"EI","Emissions intensities","024","Angola","71761","Emissions intensity","21116","Meat of goat, fresh or chilled","2014","2014","kg CO2eq/kg product","52.7297","E","Estimated value"
"EI","Emissions intensities","024","Angola","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2014","2014","kilotonnes","1005.0277","E","Estimated value"
"EI","Emissions intensities","024","Angola","5510","Production","21116","Meat of goat, fresh or chilled","2014","2014","tonnes","19060","I","Imputed value"
"EI","Emissions intensities","024","Angola","71761","Emissions intensity","21115","Meat of sheep, fresh or chilled","2014","2014","kg CO2eq/kg product","57.7521","E","Estimated value"
"EI","Emissions intensities","024","Angola","723113","Emissions (CO2eq) (AR5)","21115","Meat of sheep, fresh or chilled","2014","2014","kilotonnes","237.0148","E","Estimated value"
"EI","Emissions intensities","024","Angola","5510","Production","21115","Meat of sheep, fresh or chilled","2014","2014","tonnes","4104","I","Imputed value"
"EI","Emissions intensities","024","Angola","71761","Emissions intensity","21121","Meat of chickens, fresh or chilled","2014","2014","kg CO2eq/kg product","3.5832","E","Estimated value"
"EI","Emissions intensities","024","Angola","723113","Emissions (CO2eq) (AR5)","21121","Meat of chickens, fresh or chilled","2014","2014","kilotonnes","125.5397","E","Estimated value"
"EI","Emissions intensities","024","Angola","5510","Production","21121","Meat of chickens, fresh or chilled","2014","2014","tonnes","35036","I","Imputed value"
"EI","Emissions intensities","024","Angola","71761","Emissions intensity","0231","Hen eggs in shell, fresh","2014","2014","kg CO2eq/kg product","0.9955","E","Estimated value"
"EI","Emissions intensities","024","Angola","723113","Emissions (CO2eq) (AR5)","0231","Hen eggs in shell, fresh","2014","2014","kilotonnes","5.0773","E","Estimated value"
"EI","Emissions intensities","024","Angola","5510","Production","0231","Hen eggs in shell, fresh","2014","2014","tonnes","5100","E","Estimated value"
"EI","Emissions intensities","024","Angola","71761","Emissions intensity","21113.01","Meat of pig with the bone, fresh or chilled","2014","2014","kg CO2eq/kg product","7.1266","E","Estimated value"
